build_type,group_id,measurement_name,impl_description,timestamp,0,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000
sequential,add_existing_x300,average,:gb_sets.add/2,2026-04-02T21:16:52.934618Z,,,,60543.95373866818,58603.32073584157,55239.74100049986,51906.42254009757,50542.22723938096,48024.10519601319,47275.84044206882,45400.06525364219,35421.81150753469,29783.61390662187,26896.632385509787,24827.457726911554,23438.08505162129,22280.900730286532,21547.998544212995,20639.138317202083,19819.976480410744,17877.5281616605
sequential,add_existing_x300,average,:gb_trees.enter/3,2026-04-02T21:16:52.875810Z,,,,31199.505110440627,30113.112704518084,28057.36537800165,25816.410732851473,24965.8987647093,23602.09662947362,22913.31584405794,23083.940634830386,18394.075619807794,16282.210939433353,15426.394963089635,14529.788485150306,13913.445486357303,13399.99830897372,13182.67549514287,12805.083898822124,12388.189244624537,11381.397298354472
sequential,add_existing_x300,average,:xb5_bag.add/2,2026-04-02T21:16:52.779006Z,,,,57409.40421176636,54269.25683621501,52471.032896400684,51284.229717117676,50041.69733185244,48261.412109890334,48070.6714870806,47263.6557771405,38984.34304233665,34849.30370787065,32371.636642179463,29920.880029903536,27811.644082422725,26604.348394034365,25714.402099583058,24777.749827739393,24182.822587774226,22101.713639736958
sequential,add_existing_x300,average,:xb5_sets.add/2,2026-04-02T21:16:52.825588Z,,,,58413.719384379474,53970.25122982495,52953.086920365684,51001.8348389578,49886.26465568002,48193.84158490595,47712.464780949704,47250.891718550425,39269.12762738054,35321.64821983997,32675.317864076147,30789.93387758862,28475.539693286035,27356.011181756454,26507.82516997799,25652.038393243623,24915.936268268073,22727.736199811996
sequential,add_existing_x300,average,:xb5_trees.enter/3,2026-04-02T21:16:52.569405Z,,,,34773.2405387437,33246.668544283006,31126.133500909804,29928.3340948118,28622.82737854817,27847.91336618952,26921.48594831548,26654.30191350471,21832.94028814242,19758.711641390466,18478.595690976043,17502.674793503713,16928.61833475295,16334.661663286475,15948.030873162768,15627.355580883572,15277.423923729697,14264.510799044292
sequential,add_existing_x300,minimum,:gb_sets.add/2,2026-04-02T21:16:52.934618Z,,,,58350.85317699973,57235.41498537635,51610.21283535671,50526.84339609104,49099.39435897058,46334.65109081036,46824.52462571987,44176.26506465859,34469.37499439873,29336.60260432756,26666.574222542695,24423.03033144983,23022.706374388803,22046.81774028055,21334.23449139825,20234.387045783536,19452.864833130407,17623.800590221083
sequential,add_existing_x300,minimum,:gb_trees.enter/3,2026-04-02T21:16:52.875810Z,,,,30077.919859187212,29689.800959574368,27030.219515115703,24810.50357631004,24280.88516452485,22936.563657794726,22287.7034950908,22499.227714008717,17969.099976298756,15915.251920135355,15150.73465912362,14311.661327701408,13716.111603062314,13075.363387230416,13007.559863717193,12683.58055957167,12194.1166801371,11175.415694731451
sequential,add_existing_x300,minimum,:xb5_bag.add/2,2026-04-02T21:16:52.779006Z,,,,56052.08359607748,53107.78809780118,51849.38996600235,49757.18493750498,49199.79001529622,46869.756445997606,46605.77156553914,46247.2228542676,38034.84600451549,34176.86390362671,31639.62217228787,29440.13113812014,27126.09592818312,26351.336039088517,25510.848360711152,24444.110374935986,23986.256834284228,21975.13381757738
sequential,add_existing_x300,minimum,:xb5_sets.add/2,2026-04-02T21:16:52.825588Z,,,,56716.35018943261,53255.480920957685,51616.926015911435,49265.35502585446,48606.24036077496,46793.3675080894,44969.16464380374,45869.16097048136,38415.58750878757,33987.60607956703,32023.32322677252,30066.29919635789,28119.94280403634,26789.720784135126,26171.816931281184,25334.02275653928,24583.198023314213,22375.55944492502
