build_type,case_group_id,measurement_name,impl_mod,50,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000
sequential,alternate_insert_and_delete,25th_percentile,gb_sets,82691.95608410932,74285.38665422563,66397.0003621226,67221.01597843549,61530.509903335565,59821.5322784028,55849.89341909883,56510.95185732606,53237.05955964055,50047.8992909632,53108.71885837498,44314.6517533092,37699.00361533445,36606.59901718982,33632.324612795055,31719.489408352943,33330.831578823745,30315.990829960578,29516.129046214002,28937.19471259578,25713.54856234896
sequential,alternate_insert_and_delete,25th_percentile,gb_trees,81150.60314976718,71528.23587723677,63201.06880680446,57985.65308889227,61214.49559255632,60252.95125379092,51282.79445401575,49681.047673933346,48015.057522038915,47014.30671776831,47928.45149301477,43759.46298387026,36308.194813176146,33484.79622827255,31999.993449148555,31150.853369873086,29202.91429004092,29166.416541233826,27596.432049919713,26238.04201235287,25282.55725224713
sequential,alternate_insert_and_delete,25th_percentile,xb5_bag,81668.47415610873,78974.59387315101,63098.04278209654,60934.89635225981,55175.76239109684,57205.87406312849,56707.135625616735,60997.109803966174,54975.477203604125,55580.39843092345,60399.2725041783,47208.0300392988,44462.68962601327,43056.748564466485,41465.986755528975,38663.33789310721,36275.97275073225,35344.78691467946,34702.22024805147,35414.35294548352,31621.25327675237
sequential,alternate_insert_and_delete,25th_percentile,xb5_sets,89600.1146881468,77000.7236154719,87605.29269702564,70881.76920895945,64206.69418993624,67901.94400924636,62024.758367220384,60606.447153031426,65559.15402467646,60420.89872537111,62642.61186745596,55897.155666294835,48846.371907344976,47735.515954293114,46001.94805549967,42124.56580060969,41495.9685958982,40202.52136337635,39147.294405791654,37989.15789433695,36202.57708164386
sequential,alternate_insert_and_delete,25th_percentile,xb5_trees,74810.1658831568,68316.85742176078,62408.80899434505,56733.6202336063,58129.77102548005,54005.158939382156,55708.10662848204,52153.4834530043,55396.01176560053,57467.105930262594,53388.937111353356,43464.01218631953,41731.52441085521,40538.306047212805,38001.830480722565,35878.214813980216,35353.30323588785,34153.92379983043,34426.84467640487,33430.05763341936,31663.859826476706
sequential,alternate_insert_and_delete,75th_percentile,gb_sets,143899.53155650993,120397.49192651725,119220.71085539483,109465.48006086281,103379.47503902575,97468.66830267615,91606.87200633992,90137.27769516691,85776.77103247921,82078.83755123892,81865.21710655576,64091.8821222104,53168.01624814577,51680.60386927263,48380.20870079684,43556.99166254104,44212.71966026632,42152.96399726295,40908.83393481977,39035.20585215806,34019.93492408524
sequential,alternate_insert_and_delete,75th_percentile,gb_trees,139079.791386611,133909.77447937586,119641.21224668744,102478.03122697664,111598.42423024988,100302.49173216254,93282.44701580031,87359.1333973967,92494.95902473315,79436.1212644652,81448.13065503523,64935.06493506493,54508.98131741408,49051.346949987244,46998.81831860592,43773.06423184175,42506.00591733722,42323.71243462374,39072.53272388106,37748.81185614683,33867.45224924492
sequential,alternate_insert_and_delete,75th_percentile,xb5_bag,150254.9065542358,134064.43136571435,125652.48431798424,117385.3841957773,107493.36228487891,110953.042263149,107053.17062140146,94388.69144453321,104934.59915789409,104896.44792514067,101926.67831427007,84373.70098201276,75418.20965812373,75082.17104011432,69410.09165409053,63249.82041531257,64466.89522936057,62812.51947071368,59116.67858853018,57147.92385107375,51099.55354891856
sequential,alternate_insert_and_delete,75th_percentile,xb5_sets,148681.1977757293,146104.38443750603,134317.52128959098,122690.35408436188,117362.62704504377,120497.18739627492,109376.1788270055,111599.3583062958,110782.9039076449,111104.80455899498,106811.49480438442,94963.67594056929,81596.47597112808,75102.10293816851,71859.9808683334,67971.12636984466,65944.1413541507,61709.609467000686,61032.887944826114,57921.31967934757,52466.83950769223
