build_type,group_id,measurement_name,impl_description,0,100
random,insert_x100,maximum,:xb5_bag.insert/2,280338.20000448544,216219.95623708086
random,insert_x100,maximum,:xb5_sets.insert/2,292969.0361025743,229046.27421878043
random,insert_x100,maximum,:xb5_trees.insert/3,311463.41083581204,239184.09521440463
from_ordset_or_orddict,get_x100,average,:gb_trees.get/2,,723739.6789600503
from_ordset_or_orddict,get_x100,average,:xb5_trees.get/2,,667557.2514053523
from_ordset_or_orddict,get_x100,minimum,:gb_trees.get/2,,636877.7704183013
from_ordset_or_orddict,get_x100,minimum,:xb5_trees.get/2,,597600.0382464024
from_ordset_or_orddict,get_x100,25th_percentile,:gb_trees.get/2,,701857.8176433018
from_ordset_or_orddict,get_x100,25th_percentile,:xb5_trees.get/2,,650152.7859046876
from_ordset_or_orddict,get_x100,median,:gb_trees.get/2,,723060.5707840145
from_ordset_or_orddict,get_x100,median,:xb5_trees.get/2,,665101.4612279104
from_ordset_or_orddict,get_x100,75th_percentile,:gb_trees.get/2,,744031.0112125473
from_ordset_or_orddict,get_x100,75th_percentile,:xb5_trees.get/2,,683779.3854190884
from_ordset_or_orddict,get_x100,maximum,:gb_trees.get/2,,803574.2984796375
from_ordset_or_orddict,get_x100,maximum,:xb5_trees.get/2,,738416.0974709248
from_ordset_or_orddict,insert_x100,average,:gb_sets.insert/2,228901.9978828258,245248.20540214717
from_ordset_or_orddict,insert_x100,average,:gb_trees.insert/3,274624.3175555366,278186.68772043154
from_ordset_or_orddict,insert_x100,average,:xb5_bag.insert/2,267668.74075722165,236015.225461129
from_ordset_or_orddict,insert_x100,average,:xb5_sets.insert/2,279483.0644879054,252379.4602312214
from_ordset_or_orddict,insert_x100,average,:xb5_trees.insert/3,300087.1426868043,262830.8987142956
from_ordset_or_orddict,insert_x100,minimum,:gb_sets.insert/2,221385.3854651639,218957.32521731514
from_ordset_or_orddict,insert_x100,minimum,:gb_trees.insert/3,265951.7882598243,246059.35935985198
from_ordset_or_orddict,insert_x100,minimum,:xb5_bag.insert/2,254933.60254321762,224084.11221236002
from_ordset_or_orddict,insert_x100,minimum,:xb5_sets.insert/2,264366.3271321805,239821.95617973217
from_ordset_or_orddict,insert_x100,minimum,:xb5_trees.insert/3,285518.5015989036,247892.29575534022
from_ordset_or_orddict,insert_x100,25th_percentile,:gb_sets.insert/2,226951.51369561095,238356.01107077143
from_ordset_or_orddict,insert_x100,25th_percentile,:gb_trees.insert/3,272791.0121079165,269925.2038735434
from_ordset_or_orddict,insert_x100,25th_percentile,:xb5_bag.insert/2,264552.3709753811,233284.848989361
from_ordset_or_orddict,insert_x100,25th_percentile,:xb5_sets.insert/2,275848.3718244823,249463.65326217446
from_ordset_or_orddict,insert_x100,25th_percentile,:xb5_trees.insert/3,296951.7898769135,259638.42756958446
from_ordset_or_orddict,insert_x100,median,:gb_sets.insert/2,228794.4704955365,244696.20965571245
from_ordset_or_orddict,insert_x100,median,:gb_trees.insert/3,275292.87771098455,277914.41951676784
from_ordset_or_orddict,insert_x100,median,:xb5_bag.insert/2,267297.49045890046,236385.9447141811
from_ordset_or_orddict,insert_x100,median,:xb5_sets.insert/2,279259.4041148774,253084.78737870528
from_ordset_or_orddict,insert_x100,median,:xb5_trees.insert/3,300303.0057327844,262855.61078444
from_ordset_or_orddict,insert_x100,75th_percentile,:gb_sets.insert/2,230350.79027300345,252393.95732222844
from_ordset_or_orddict,insert_x100,75th_percentile,:gb_trees.insert/3,276934.66573298513,286054.28604992427
from_ordset_or_orddict,insert_x100,75th_percentile,:xb5_bag.insert/2,270918.27809815935,238959.61783199196
from_ordset_or_orddict,insert_x100,75th_percentile,:xb5_sets.insert/2,283203.2875525205,255123.84377193483
from_ordset_or_orddict,insert_x100,75th_percentile,:xb5_trees.insert/3,303516.8497379132,266558.6238921967
from_ordset_or_orddict,insert_x100,maximum,:gb_sets.insert/2,235799.56094121753,266519.547876239
from_ordset_or_orddict,insert_x100,maximum,:gb_trees.insert/3,280779.78160948586,310205.44906891836
from_ordset_or_orddict,insert_x100,maximum,:xb5_bag.insert/2,280259.63252356986,247229.79020080002
from_ordset_or_orddict,insert_x100,maximum,:xb5_sets.insert/2,294377.3918163085,263946.95721947716
from_ordset_or_orddict,insert_x100,maximum,:xb5_trees.insert/3,313626.1137647365,274403.3784543955
xb5_adversarial,get_x100,average,:gb_trees.get/2,,713218.1321393219
xb5_adversarial,get_x100,average,:xb5_trees.get/2,,687125.0417926909
xb5_adversarial,get_x100,minimum,:gb_trees.get/2,,637283.642203472
xb5_adversarial,get_x100,minimum,:xb5_trees.get/2,,596637.3518847774
xb5_adversarial,get_x100,25th_percentile,:gb_trees.get/2,,694825.6335072713
xb5_adversarial,get_x100,25th_percentile,:xb5_trees.get/2,,666808.921459897
xb5_adversarial,get_x100,median,:gb_trees.get/2,,713704.5548624691
xb5_adversarial,get_x100,median,:xb5_trees.get/2,,681565.6998329929
xb5_adversarial,get_x100,75th_percentile,:gb_trees.get/2,,731491.4378927195
xb5_adversarial,get_x100,75th_percentile,:xb5_trees.get/2,,707804.3161208166
xb5_adversarial,get_x100,maximum,:gb_trees.get/2,,787283.7921885703
xb5_adversarial,get_x100,maximum,:xb5_trees.get/2,,779471.8298880678
xb5_adversarial,insert_x100,average,:gb_sets.insert/2,228180.9103788498,246978.74917371548
xb5_adversarial,insert_x100,average,:gb_trees.insert/3,274964.0417330107,275743.7094020318
xb5_adversarial,insert_x100,average,:xb5_bag.insert/2,266538.4178063821,243000.39027648466
xb5_adversarial,insert_x100,average,:xb5_sets.insert/2,279660.7343656785,254170.11819160462
xb5_adversarial,insert_x100,average,:xb5_trees.insert/3,299720.00337411044,263388.7190852501
xb5_adversarial,insert_x100,minimum,:gb_sets.insert/2,220612.24309704293,222144.22491658485
xb5_adversarial,insert_x100,minimum,:gb_trees.insert/3,264850.14778638247,245847.63347068022
xb5_adversarial,insert_x100,minimum,:xb5_bag.insert/2,253419.25935687262,230703.39157055947
xb5_adversarial,insert_x100,minimum,:xb5_sets.insert/2,265958.86148330575,240735.88144239312
xb5_adversarial,insert_x100,minimum,:xb5_trees.insert/3,286181.1698513861,245961.92017551843
xb5_adversarial,insert_x100,25th_percentile,:gb_sets.insert/2,226091.65758476016,241162.20063747972
xb5_adversarial,insert_x100,25th_percentile,:gb_trees.insert/3,272612.527636095,268599.69136372936
xb5_adversarial,insert_x100,25th_percentile,:xb5_bag.insert/2,263469.901992849,240049.93546815767
xb5_adversarial,insert_x100,25th_percentile,:xb5_sets.insert/2,276317.898215539,251022.60350470507
xb5_adversarial,insert_x100,25th_percentile,:xb5_trees.insert/3,296667.6826803675,259476.74248378183
xb5_adversarial,insert_x100,median,:gb_sets.insert/2,228417.4099749883,247070.97496527812
xb5_adversarial,insert_x100,median,:gb_trees.insert/3,275863.59144388826,275814.1352104152
xb5_adversarial,insert_x100,median,:xb5_bag.insert/2,266687.2916692576,243457.68343883468
xb5_adversarial,insert_x100,median,:xb5_sets.insert/2,279404.53305914433,254316.3848417262
xb5_adversarial,insert_x100,median,:xb5_trees.insert/3,299865.36105983896,263859.90136032866
xb5_adversarial,insert_x100,75th_percentile,:gb_sets.insert/2,229856.5238312406,253246.95116261934
xb5_adversarial,insert_x100,75th_percentile,:gb_trees.insert/3,277462.54949238227,282678.1241384312
xb5_adversarial,insert_x100,75th_percentile,:xb5_bag.insert/2,269340.86233791325,246137.03333627284
xb5_adversarial,insert_x100,75th_percentile,:xb5_sets.insert/2,282992.70444807934,257448.96399556077
xb5_adversarial,insert_x100,75th_percentile,:xb5_trees.insert/3,303180.9749964738,267916.45180442417
xb5_adversarial,insert_x100,maximum,:gb_sets.insert/2,235493.59457422758,271810.7762100336
xb5_adversarial,insert_x100,maximum,:gb_trees.insert/3,280946.2268921728,302431.85454237525
xb5_adversarial,insert_x100,maximum,:xb5_bag.insert/2,278717.67571755865,255757.09214416516
xb5_adversarial,insert_x100,maximum,:xb5_sets.insert/2,293020.54367031675,266377.55822347477
xb5_adversarial,insert_x100,maximum,:xb5_trees.insert/3,312790.3085050813,276892.49095253786
