build_type,group_id,measurement_name,impl_description,0,100
from_ordset_or_orddict,get_x100,maximum,:gb_trees.get/2,,0
from_ordset_or_orddict,get_x100,maximum,:xb5_trees.get/2,,0
from_ordset_or_orddict,insert_x100,average,:gb_sets.insert/2,25983.183673469386,29536.64
from_ordset_or_orddict,insert_x100,average,:gb_trees.insert/3,31913.95918367347,36320.8
from_ordset_or_orddict,insert_x100,average,:xb5_bag.insert/2,25336.96,34477.92
from_ordset_or_orddict,insert_x100,average,:xb5_sets.insert/2,21702.56,29009.76
from_ordset_or_orddict,insert_x100,average,:xb5_trees.insert/3,29606.72,38903.68
from_ordset_or_orddict,insert_x100,minimum,:gb_sets.insert/2,23680,29312
from_ordset_or_orddict,insert_x100,minimum,:gb_trees.insert/3,29000,36040
from_ordset_or_orddict,insert_x100,minimum,:xb5_bag.insert/2,24376,33632
from_ordset_or_orddict,insert_x100,minimum,:xb5_sets.insert/2,21088,28504
from_ordset_or_orddict,insert_x100,minimum,:xb5_trees.insert/3,28352,37792
from_ordset_or_orddict,insert_x100,25th_percentile,:gb_sets.insert/2,24976.0,29472.0
from_ordset_or_orddict,insert_x100,25th_percentile,:gb_trees.insert/3,30620.0,36240.0
from_ordset_or_orddict,insert_x100,25th_percentile,:xb5_bag.insert/2,25028.0,34066.0
from_ordset_or_orddict,insert_x100,25th_percentile,:xb5_sets.insert/2,21432.0,28712.0
from_ordset_or_orddict,insert_x100,25th_percentile,:xb5_trees.insert/3,29218.0,38326.0
from_ordset_or_orddict,insert_x100,median,:gb_sets.insert/2,25824.0,29536.0
from_ordset_or_orddict,insert_x100,median,:gb_trees.insert/3,31680.0,36320.0
from_ordset_or_orddict,insert_x100,median,:xb5_bag.insert/2,25388.0,34592.0
from_ordset_or_orddict,insert_x100,median,:xb5_sets.insert/2,21672.0,29076.0
from_ordset_or_orddict,insert_x100,median,:xb5_trees.insert/3,29636.0,39012.0
from_ordset_or_orddict,insert_x100,75th_percentile,:gb_sets.insert/2,27116.0,2.96e4
from_ordset_or_orddict,insert_x100,75th_percentile,:gb_trees.insert/3,33320.0,3.64e4
from_ordset_or_orddict,insert_x100,75th_percentile,:xb5_bag.insert/2,25618.0,34838.0
from_ordset_or_orddict,insert_x100,75th_percentile,:xb5_sets.insert/2,22008.0,29296.0
from_ordset_or_orddict,insert_x100,75th_percentile,:xb5_trees.insert/3,29988.0,39508.0
from_ordset_or_orddict,insert_x100,maximum,:gb_sets.insert/2,28688,29696
from_ordset_or_orddict,insert_x100,maximum,:gb_trees.insert/3,35360,36520
from_ordset_or_orddict,insert_x100,maximum,:xb5_bag.insert/2,26104,35224
from_ordset_or_orddict,insert_x100,maximum,:xb5_sets.insert/2,22240,29552
from_ordset_or_orddict,insert_x100,maximum,:xb5_trees.insert/3,30624,39936
xb5_adversarial,get_x100,average,:gb_trees.get/2,,0.0
